Name,Type,TermStart,TermEnd,State,Constituency,Party,Gender,Education,EducationDetails,Age,Debates,PrivateMemberBills,Questions,Attendance,Notes,NationalDebatesAverage,NationalPrivateMemberBillsAverage,NationalQuestionsAverage,NationalAttendanceAverage,StateDebatesAverage,StatePrivateMemberBillsAverage,StateQuestionsAverage,StateAttendanceAverage
J. Jeyasingh Thiyagaraj Natterjee,Elected,18-May-14,In office,Tamil Nadu,Thoothukkudi,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,Information not available,60,3,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
J.C. Divakar Reddi,Elected,18-May-14,In office,Andhra Pradesh,Anantapur,Telugu Desam Party,Male,Inter/ Higher Secondary,Information not available,70,1,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Jadhav Prataprao Ganpatrao,Elected,18-May-14,In office,Maharashtra,Buldhana,Shiv Sena,Male,Under Graduate,"B.A. - II; Educated at Shri Shivaji College, Chikhil, Buldana",53,3,0,41,68, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Jagdambika Pal,Elected,18-May-14,In office,Uttar Pradesh,Domariyaganj,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Pol. Science, Modern History & Ancient History) & LL.B.; Educated at Awadh University, L.L.B., Gorakhpur University",63,25,0,29,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Jai Prakash Narayan Yadav,Elected,18-May-14,In office,Bihar,Banka,Rashtriya Janata Dal,Male,Post Graduate,Information not available,60,14,0,14,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Janak Ram,Elected,18-May-14,In office,Bihar,Gopalganj,Bharatiya Janata Party,Male,Post Graduate,Information not available,42,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Janardan Mishra,Elected,18-May-14,In office,Madhya Pradesh,Rewa,Bharatiya Janata Party,Male,Graduate,Information not available,58,3,0,1,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Janardan Singh Sigriwal,Elected,18-May-14,In office,Bihar,Maharajganj,Bharatiya Janata Party,Male,Graduate,Information not available,50,8,0,11,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Jasvantsinh Sumanbhai Bhabhor,Elected,18-May-14,In office,Gujarat,Dahod,Bharatiya Janata Party,Male,Graduate,Information not available,47,2,0,2,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Jayadev Galla,Elected,18-May-14,In office,Andhra Pradesh,Guntur,Telugu Desam Party,Male,Graduate,Information not available,48,6,0,39,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Jayant Sinha,Elected,18-May-14,In office,Jharkhand,Hazaribagh,Bharatiya Janata Party,Male,Post Graduate,Information not available,50,2,0,8,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.3,25,90%
Jayshreeben Kanubhai Patel,Elected,18-May-14,In office,Gujarat,Mehesana,Bharatiya Janata Party,Female,Matric,,55,16,2,55,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Jhina Hikaka,Elected,18-May-14,In office,Odisha,Koraput,Biju Janata Dal,Male,Graduate,Information not available,39,1,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Jitendra Choudhury,Elected,18-May-14,In office,Tripura,Tripura East,Communist Party of India (Marxist),Male,Inter/ Higher Secondary,Information not available,57,6,0,22,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4,0,16,84%
Jitendra Singh,Elected,18-May-14,In office,Jammu and Kashmir,Udhampur,Indian National Congress,Male,Professional Graduate,MBBS,57,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Joice George,Elected,18-May-14,In office,Kerala,Idukki,Independent,Male,Graduate,Information not available,44,7,0,15,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
Jose K. Mani,Elected,18-May-14,In office,Kerala,Kottayam,Kerala Congress (M),Male,Post Graduate,"B.Com., M.B.A. (Marketing); Educated at Loyola College, Chennai and P.S.G. College of Technology, Coimbatore",49,13,0,58,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
Jual @ Juel Oram,Elected,18-May-14,In office,Odisha,Sundargarh,Bharatiya Janata Party,Male,others,Information not available,53,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Jugal Kishore,Elected,18-May-14,In office,Jammu and Kashmir,Jammu,Bharatiya Janata Party,Male,Under Matric,Information not available,51,9,0,5,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3,0,6,59%
Jyoti Dhurve,Elected,18-May-14,In office,Madhya Pradesh,Betul,Bharatiya Janata Party,Female,Post Graduate,"M.A. (Political Science), Educated at Durga Mahavidhyala Raipur, Chattisgarh",48,13,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Jyotiraditya Madhavrao Scindia,Elected,18-May-14,In office,Madhya Pradesh,Guna,Indian National Congress,Male,Post Graduate,"M.A., M.B.A.; Educated at Doon School, Dehradun, Harvard University (U.S.A.) and Stanford University, California (USA) ",43,2,0,44,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
K. Ashok Kumar,Elected,18-May-14,In office,Tamil Nadu,Krisnagiri,All India Anna Dravida Munnetra Kazhagam,Male,Under Matric,Information not available,60,7,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
K. C. Venugopal,Elected,18-May-14,In office,Kerala,Alappuzha,Indian National Congress,Male,Post Graduate,M.Sc. (Mathematics); Educated at Calicut University,51,8,0,39,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
K. Gopal,Elected,18-May-14,In office,Tamil Nadu,Nagapattinam,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Information not available,54,6,0,3,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
K. Kamaraj,Elected,18-May-14,In office,Tamil Nadu,Kallakurichi,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,Information not available,48,5,0,1,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
K. Maragatham,Elected,18-May-14,In office,Tamil Nadu,Kancheepuram,All India Anna Dravida Munnetra Kazhagam,Female,Inter/ Higher Secondary,Information not available,32,2,0,28,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
K. Parasuraman,Elected,18-May-14,In office,Tamil Nadu,Thanjavur,All India Anna Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,Information not available,53,8,0,22,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
K.C. Patel,Elected,18-May-14,In office,Gujarat,Valsad,Bharatiya Janata Party,Male,Graduate,Information not available,65,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
K.H. Muniyappa,Elected,18-May-14,In office,Karnataka,Kolar,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Bangalore University (Karnataka) ",66,3,0,0,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
K.N. Ramachandran,Elected,18-May-14,In office,Tamil Nadu,Sriperumbudur,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,Information not available,59,4,0,12,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
K.R.P.  Prabakaran,Elected,18-May-14,In office,Tamil Nadu,Tirunelveli,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Information not available,34,1,0,5,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
K.V. Thomas,Elected,18-May-14,In office,Kerala,Ernakulam,Indian National Congress,Male,Post Graduate,"M.Sc. (Chemistry); Educated at Scared Heart College, Cochin, Kerala",68,3,0,10,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
Kadiyam Srihari,Elected,18-May-14,In office,Telangana,Warangal,Telangana Rashtra Samithi,Male,Post Graduate,Information not available,63,3,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,14,85%
Kakoli Ghosh Dastidar,Elected,18-May-14,In office,West Bengal,Barasat,All India Trinamool Congress,Female,Post Graduate,"M.B.B.S., Post Graduate Training in Obstetric Ultrasound; Educated at Auxilium Convent, Loreto House, R. G. Kar Medical College, King's College, London",54,4,0,7,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Kalikesh Narayan Singh Deo,Elected,18-May-14,In office,Odisha,Bolangir,Biju Janata Dal,Male,Graduate,"B.A. (Hons.) Economics; Educated at St. Stepen`s College, Delhi University",40,1,0,11,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Kalraj Mishra,Elected,18-May-14,In office,Uttar Pradesh,Deoria,Bharatiya Janata Party,Male,Post Graduate,"M.A. Educated at Kashi Vidyapith, Varanasi ",73,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Kalvakuntla Kavitha,Elected,18-May-14,In office,Telangana,Nizamabad,Telangana Rashtra Samithi,Female,Graduate,Information not available,36,5,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,14,85%
Kalyan Banerjee,Elected,18-May-14,In office,West Bengal,Serampore,All India Trinamool Congress,Male,Graduate,"B.Com., LL.B; Educated at Bankura Samilani College, Bankura",57,3,0,1,73, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Kamakhya Prasad Tasa,Elected,18-May-14,In office,Assam,Jorhat,Bharatiya Janata Party,Male,Post Graduate,Information not available,38,2,0,18,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.6,0,10,85%
Kamal Nath,Elected,18-May-14,In office,Madhya Pradesh,Chhindwara,Indian National Congress,Male,Graduate,"B.Com.; Educated at St. Xavier's College, Calcutta, West Bengal",67,0,0,0,68, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Kamalbhan Singh Marabi,Elected,18-May-14,In office,Chhattisgarh,Surguja,Bharatiya Janata Party,Male,Post Graduate,Information not available,51,2,0,0,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,8,91%
Kambhampati Hari Babu,Elected,18-May-14,In office,Andhra Pradesh,Visakhapatnam,Bharatiya Janata Party,Male,Doctorate,Information not available,60,1,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Kamla Devi Patle,Elected,18-May-14,In office,Chhattisgarh,Janjgir-Champa,Bharatiya Janata Party,Female,Under Graduate,,48,8,0,59,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,8,91%
Kamlesh Paswan,Elected,18-May-14,In office,Uttar Pradesh,Bansgaon,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at St. Pauls School I.C.S.E. Board Gorakhpur and U.P. Board, Gorakhpur",38,8,0,9,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Kanwar Singh Tanwar,Elected,18-May-14,In office,Uttar Pradesh,Amroha,Bharatiya Janata Party,Male,Under Matric,Information not available,52,2,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Kapil Krishna Thakur,Elected,18-May-14,In office,West Bengal,Bongaon,All India Trinamool Congress,Male,Graduate,Information not available,73,0,0,0,50, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Kapil Moreshwar Patil,Elected,18-May-14,In office,Maharashtra,Bhiwandi,Bharatiya Janata Party,Male,Graduate,Information not available,53,2,0,25,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Karadi Sanganna Amarappa,Elected,18-May-14,In office,Karnataka,Koppal,Bharatiya Janata Party,Male,Under Matric,Information not available,59,4,0,11,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
Kariya Munda,Elected,18-May-14,In office,Jharkhand,Khunti,Bharatiya Janata Party,Male,Post Graduate,"M.A.; Educated at Ranchi University, Ranchi, Jharkhand",78,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.3,25,90%
Kaushal Kishore,Elected,18-May-14,In office,Uttar Pradesh,Mohanlalganj,Bharatiya Janata Party,Male,Graduate,Information not available,53,11,0,10,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Kaushalendra Kumar,Elected,18-May-14,In office,Bihar,Nalanda,Janata Dal (United),Male,Inter/ Higher Secondary,"I.A.; Educated S.P.M. College, Udatpuri, Biharsharif, Nalanda, Bihar",56,18,0,40,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Keshav Prasad Maurya,Elected,18-May-14,In office,Uttar Pradesh,Phulpur,Bharatiya Janata Party,Male,Graduate,Information not available,47,2,0,2,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Kesineni Srinivas,Elected,18-May-14,In office,Andhra Pradesh,Vijayawada,Telugu Desam Party,Male,Under Matric,Information not available,48,2,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Kiren Rijiju,Elected,18-May-14,In office,Arunachal Pradesh,Arunachal West,Bharatiya Janata Party,Male,Graduate,Information not available,42,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Kirit Premjibhai Solanki,Elected,18-May-14,In office,Gujarat,Ahmedabad West,Bharatiya Janata Party,Male,Post Graduate,"M.B.B.S., M.S. and F.I.C.S.; Educated at (i) Smt. N.H.L. Municipal Medial College and K.M. School of Post Graduate Medicine and Research, Sheth V.S. General Hospital , Ahmedabad; (ii) B.J. Medical College and Civil Hospital, Ahmedabad; and (iii) Fellow of",64,15,0,17,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Kirit Somaiya,Elected,18-May-14,In office,Maharashtra,Mumbai-North-East,Bharatiya Janata Party,Male,Doctorate,Information not available,60,13,0,32,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Kirron Anupam Kher,Elected,18-May-14,In office,Chandigarh,Chandigarh,Bharatiya Janata Party,Female,Post Graduate,Information not available,61,1,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,1,0,0,0
Kirti (Jha) Azad,Elected,18-May-14,In office,Bihar,Darbhanga,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.) History; Educated at St. Stephen's College, University of Delhi, Delhi",55,5,0,38,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Kirti Vardhan Singh,Elected,18-May-14,In office,Uttar Pradesh,Gonda,Bharatiya Janata Party,Male,Post Graduate,Information not available,48,2,0,0,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Konakalla Narayana Rao,Elected,18-May-14,In office,Andhra Pradesh,Machilipatnam,Telugu Desam Party,Male,Inter/ Higher Secondary,,64,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Konda Vishweshwar Reddy,Elected,18-May-14,In office,Telangana,Chelvella,Telangana Rashtra Samithi,Male,Post Graduate,Information not available,54,3,0,2,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,14,85%
Kothapalli Geetha,Elected,18-May-14,In office,Andhra Pradesh,Araku,Yuvajana Sramika Rythu Congress Party,Female,Post Graduate,Information not available,43,5,0,58,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Krishan Pal,Elected,18-May-14,In office,Haryana,Faridabad,Bharatiya Janata Party,Male,Graduate,Information not available,57,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Krishna Pratap K.P.,Elected,18-May-14,In office,Uttar Pradesh,Jaunpur,Bharatiya Janata Party,Male,Doctorate,Information not available,37,0,0,2,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Krishna Raj,Elected,18-May-14,In office,Uttar Pradesh,Shahjahanpur,Bharatiya Janata Party,Female,Post Graduate,Information not available,47,10,0,4,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Kristappa Nimmala,Elected,18-May-14,In office,Andhra Pradesh,Hindupur,Telugu Desam Party,Male,Graduate,"B.Com.; Educated at Osmania College, Kurnool",57,2,0,75,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Krupal Balaji Tumane,Elected,18-May-14,In office,Maharashtra,Ramtek,Shiv Sena,Male,Graduate,Information not available,48,4,0,16,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Kulamani Samal,Elected,18-May-14,In office,Odisha,Jagatsinghpur,Biju Janata Dal,Male,Graduate,Information not available,65,9,0,2,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Kundariya Mohanbhai Kalyanjibhai,Elected,18-May-14,In office,Gujarat,Rajkot,Bharatiya Janata Party,Male,Under Matric,Information not available,62,9,0,16,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Kunwer Sarvesh Kumar,Elected,18-May-14,In office,Uttar Pradesh,Moradabad,Bharatiya Janata Party,Male,Under Matric,Information not available,62,0,0,1,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Ladu Kishore Swain,Elected,18-May-14,In office,Odisha,Aska,Biju Janata Dal,Male,Graduate,Information not available,66,3,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Lakhan Lal Sahu,Elected,18-May-14,In office,Chhattisgarh,Bilaspur,Bharatiya Janata Party,Male,Post Graduate,Information not available,43,2,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,8,91%
Lal Krishna Advani,Elected,18-May-14,In office,Gujarat,Gandhinagar,Bharatiya Janata Party,Male,Graduate,"Law Graduate; Educated at St. Patricks High School, Karachi, D.G. National College, Hyderabad, Sindh (now in Pakistan) and Government Law College, Mumbai (Maharashtra) ",86,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Lallu Singh,Elected,18-May-14,In office,Uttar Pradesh,Faizabad,Bharatiya Janata Party,Male,Post Graduate,Information not available,59,2,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Lalubhai Babubhai Patel,Elected,18-May-14,In office,Daman and Diu,Daman and Diu,Bharatiya Janata Party,Male,Matric,"Shree Somnath Kolvani Mandal High School, Dabhol, Daman",58,2,0,0,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2,0,0,82%
Laxman Giluwa,Elected,18-May-14,In office,Jharkhand,Singhbhum,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,52,0,0,13,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.3,25,90%
Laxmi Narayan Yadav,Elected,18-May-14,In office,Madhya Pradesh,Sagar,Bharatiya Janata Party,Male,Post Graduate,Information not available,73,1,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Liladharbhai Khodaji Vaghela,Elected,18-May-14,In office,Gujarat,Patan,Bharatiya Janata Party,Male,Graduate,Information not available,80,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
M. B. Rajesh,Elected,18-May-14,In office,Kerala,Palakkad,Communist Party of India (Marxist),Male,Post Graduate,"M.A. (Economics), LL.B.; Educated at NSS College Ottappalam, University of Calicut and Kerala Law Academy Law College Trivandrum, University of Kerala",43,16,0,72,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
M. Chandrakasi,Elected,18-May-14,In office,Tamil Nadu,Chidambaram,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Information not available,45,2,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
M. I. Shanavas,Elected,18-May-14,In office,Kerala,Wayanad,Indian National Congress,Male,Post Graduate,"M.A. (English), LL.B; Educated at Farook College, Kozhikkode and Law College, Ernakulam.",62,4,0,21,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
M. K. Raghavan,Elected,18-May-14,In office,Kerala,Kozhikode,Indian National Congress,Male,Graduate,B.A. History,62,5,0,33,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
M. Udhaya Kumar,Elected,18-May-14,In office,Tamil Nadu,Dindigul,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,Information not available,45,4,0,13,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
M. Vasanthi,Elected,18-May-14,In office,Tamil Nadu,Tenkasi,All India Anna Dravida Munnetra Kazhagam,Female,Post Graduate,Information not available,52,4,0,1,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
M. Veerappa Moily,Elected,18-May-14,In office,Karnataka,Chikkballapur,Indian National Congress,Male,Graduate,"B.A., B.L.; Educated at Government Law College, Bangalore",74,1,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
